No,,40대남성 유입인구,출발지,ADDR,경도,위도,상태
1,45271,45.55,11,서울특별시,126.939608254272,37.5644810925977,인근좌표
2,45302,44.77,11,서울특별시,126.939608254272,37.5644810925977,인근좌표
3,45333,56.65,11,서울특별시,126.939608254272,37.5644810925977,인근좌표
4,45625,41.41,11,서울특별시,126.939608254272,37.5644810925977,인근좌표
5,45656,37.84,11,서울특별시,126.939608254272,37.5644810925977,인근좌표
6,45687,68.09,11,서울특별시,126.939608254272,37.5644810925977,인근좌표
7,45983,43.6,11,서울특별시,126.939608254272,37.5644810925977,인근좌표
8,46014,28.66,11,서울특별시,126.939608254272,37.5644810925977,인근좌표
9,46319,48.65,11,서울특별시,126.939608254272,37.5644810925977,인근좌표
10,46350,61.94,11,서울특별시,126.939608254272,37.5644810925977,인근좌표
11,46381,55.04,11,서울특별시,126.939608254272,37.5644810925977,인근좌표
12,46694,5.21,26,부산광역시,129.060670382572,35.2115305988583,인근좌표
13,46725,6.71,26,부산광역시,129.060670382572,35.2115305988583,인근좌표
14,46756,6.94,26,부산광역시,129.060670382572,35.2115305988583,인근좌표
15,47066,53.78,11,서울특별시,126.939608254272,37.5644810925977,인근좌표
16,47097,41.73,11,서울특별시,126.939608254272,37.5644810925977,인근좌표
17,47128,46.58,11,서울특별시,126.939608254272,37.5644810925977,인근좌표
18,47433,70.24,11,서울특별시,126.939608254272,37.5644810925977,인근좌표
19,47464,1.34,26,부산광역시,129.060670382572,35.2115305988583,인근좌표
20,47494,1.59,26,부산광역시,129.060670382572,35.2115305988583,인근좌표
21,47814,10.59,26,부산광역시,129.060670382572,35.2115305988583,인근좌표
22,47845,13.24,26,부산광역시,129.060670382572,35.2115305988583,인근좌표
23,47876,6.04,26,부산광역시,129.060670382572,35.2115305988583,인근좌표
24,48205,56.39,11,서울특별시,126.939608254272,37.5644810925977,인근좌표
25,48236,64.99,11,서울특별시,126.939608254272,37.5644810925977,인근좌표
26,48556,1.75,26,부산광역시,129.060670382572,35.2115305988583,인근좌표
27,48587,3.22,26,부산광역시,129.060670382572,35.2115305988583,인근좌표
28,48618,9.95,26,부산광역시,129.060670382572,35.2115305988583,인근좌표
29,48942,4.62,26,부산광역시,129.060670382572,35.2115305988583,인근좌표
30,48973,2.0,26,부산광역시,129.060670382572,35.2115305988583,인근좌표
31,49004,5.67,26,부산광역시,129.060670382572,35.2115305988583,인근좌표
32,49317,84.78,11,서울특별시,126.939608254272,37.5644810925977,인근좌표
33,49348,96.02,11,서울특별시,126.939608254272,37.5644810925977,인근좌표
34,49379,123.33,11,서울특별시,126.939608254272,37.5644810925977,인근좌표
35,50355,17.73,11,서울특별시,126.939608254272,37.5644810925977,인근좌표
36,50386,18.35,11,서울특별시,126.939608254272,37.5644810925977,인근좌표
37,50417,31.01,11,서울특별시,126.939608254272,37.5644810925977,인근좌표
38,50718,43.59,11,서울특별시,126.939608254272,37.5644810925977,인근좌표
39,50749,57.87,11,서울특별시,126.939608254272,37.5644810925977,인근좌표
40,50860,7.36,44,충청남도,126.83171574747,36.5218446855619,인근좌표
41,50891,6.43,44,충청남도,126.83171574747,36.5218446855619,인근좌표
42,50922,35.59,44,충청남도,126.83171574747,36.5218446855619,인근좌표
43,50971,25.86,47,경상북도,128.636720362313,36.3620147567157,인근좌표
44,51002,5.34,47,경상북도,128.636720362313,36.3620147567157,인근좌표
45,51033,2.64,47,경상북도,128.636720362313,36.3620147567157,인근좌표
46,51064,49.58,28,인천광역시,126.458632796252,37.4752181625719,인근좌표
47,51095,52.09,28,인천광역시,126.458632796252,37.4752181625719,인근좌표
48,51120,41.63,41,경기도,127.496042691363,37.5684708981377,인근좌표
49,51151,213.51,41,경기도,127.496042691363,37.5684708981377,인근좌표
50,51182,16213.5,41,경기도,127.496042691363,37.5684708981377,인근좌표
51,51211,8.54,44,충청남도,126.83171574747,36.5218446855619,인근좌표
52,51242,5.35,44,충청남도,126.83171574747,36.5218446855619,인근좌표
53,51273,3.37,44,충청남도,126.83171574747,36.5218446855619,인근좌표
54,51325,2.81,47,경상북도,128.636720362313,36.3620147567157,인근좌표
55,51356,3.34,47,경상북도,128.636720362313,36.3620147567157,인근좌표
56,51387,9.39,47,경상북도,128.636720362313,36.3620147567157,인근좌표
57,51395,91.56,28,인천광역시,126.458632796252,37.4752181625719,인근좌표
58,51426,70.42,28,인천광역시,126.458632796252,37.4752181625719,인근좌표
59,51457,46.66,28,인천광역시,126.458632796252,37.4752181625719,인근좌표
60,51482,45.96,41,경기도,127.496042691363,37.5684708981377,인근좌표
61,51513,585.89,41,경기도,127.496042691363,37.5684708981377,인근좌표
62,51544,144.22,41,경기도,127.496042691363,37.5684708981377,인근좌표
63,51560,1.22,44,충청남도,126.83171574747,36.5218446855619,인근좌표
64,51591,15.09,44,충청남도,126.83171574747,36.5218446855619,인근좌표
65,51622,17.04,44,충청남도,126.83171574747,36.5218446855619,인근좌표
66,51674,0.54,47,경상북도,128.636720362313,36.3620147567157,인근좌표
67,51705,0.6,47,경상북도,128.636720362313,36.3620147567157,인근좌표
68,51736,0.34,47,경상북도,128.636720362313,36.3620147567157,인근좌표
69,51766,68.9,28,인천광역시,126.458632796252,37.4752181625719,인근좌표
70,51797,2.23,28,인천광역시,126.458632796252,37.4752181625719,인근좌표
71,51828,0.68,28,인천광역시,126.458632796252,37.4752181625719,인근좌표
72,51862,30.68,41,경기도,127.496042691363,37.5684708981377,인근좌표
73,51893,23.04,41,경기도,127.496042691363,37.5684708981377,인근좌표
74,51932,7.62,44,충청남도,126.83171574747,36.5218446855619,인근좌표
75,51963,39.76,45,전라북도,127.133880702483,35.7282934081942,인근좌표
76,51994,17.3,45,전라북도,127.133880702483,35.7282934081942,인근좌표
77,52028,0.07,47,경상북도,128.636720362313,36.3620147567157,인근좌표
78,52058,0.45,47,경상북도,128.636720362313,36.3620147567157,인근좌표
79,52089,2.72,47,경상북도,128.636720362313,36.3620147567157,인근좌표
80,52138,2.93,29,광주광역시,127.291776677932,37.4004581026207,인근좌표
81,52169,7.8,29,광주광역시,127.291776677932,37.4004581026207,인근좌표
82,52200,3.65,29,광주광역시,127.291776677932,37.4004581026207,인근좌표
83,52210,51.47,41,경기도,127.496042691363,37.5684708981377,인근좌표
84,52241,5.12,41,경기도,127.496042691363,37.5684708981377,인근좌표
85,52272,4.18,41,경기도,127.496042691363,37.5684708981377,인근좌표
86,52310,21.53,45,전라북도,127.133880702483,35.7282934081942,인근좌표
87,52341,6.4,45,전라북도,127.133880702483,35.7282934081942,인근좌표
88,52372,4.31,45,전라북도,127.133880702483,35.7282934081942,인근좌표
89,52402,27.99,48,경상남도,128.374216775008,35.3683619233751,인근좌표
90,52433,8.74,48,경상남도,128.374216775008,35.3683619233751,인근좌표
91,52464,3.93,48,경상남도,128.374216775008,35.3683619233751,인근좌표
92,52500,14.02,29,광주광역시,127.291776677932,37.4004581026207,인근좌표
93,52531,22.89,29,광주광역시,127.291776677932,37.4004581026207,인근좌표
94,52562,24.31,30,대전광역시,127.387475126047,36.3416757731795,인근좌표
95,52573,14.05,41,경기도,127.496042691363,37.5684708981377,인근좌표
96,52604,10.77,42,강원도,128.220740653845,37.8134662152505,인근좌표
97,52635,45.06,42,강원도,128.220740653845,37.8134662152505,인근좌표
98,52668,1.69,45,전라북도,127.133880702483,35.7282934081942,인근좌표
99,52699,7.03,45,전라북도,127.133880702483,35.7282934081942,인근좌표
100,52730,1.13,45,전라북도,127.133880702483,35.7282934081942,인근좌표
101,52770,0.82,48,경상남도,128.374216775008,35.3683619233751,인근좌표
