년월,지역코드,출/입,10대남성 유입인구,20대남성 유입인구,30대남성 유입인구,40대남성 유입인구,50대남성 유입인구,60대남성 유입인구,70대남성 유입인구,10대여성 유입인구,20대여성 유입인구,30대여성 유입인구,40대여성 유입인구,50대여성 유입인구,60대여성 유입인구,70대여성 유입인구
202007,41190,입,26.3,66.21,77.67,110.64,160.97,60.75,16.44,21.92,32.1,38.24,39.89,50.58,22.13,14.34
202007,41210,입,16.52,12.75,49.59,74.38,70.09,30.42,7.49,18.05,12.57,16.2,20.37,23.8,9.78,5.62
202006,46130,입,0.07,1.17,8.83,4.62,6.36,3.77,0.13,0.37,1.07,2.19,2.41,2.09,2.36,0.77
202006,46150,입,1.23,3.24,4.34,6.02,7.61,4.24,0.23,0.37,1.7,1.53,2.54,4.0,1.14,1.17
202006,46170,입,0.0,1.47,6.27,3.75,5.45,3.48,0.32,0.0,1.84,0.27,0.25,0.96,1.7,0.41
202006,48330,입,2.96,1.69,8.56,17.61,23.34,8.54,0.24,0.12,2.75,1.54,1.46,4.09,1.14,1.09
202006,48720,입,0.0,0.21,0.33,1.32,2.3,0.12,0.0,0.0,0.16,0.0,0.33,0.99,0.06,0.13
202006,48730,입,0.0,1.1,1.73,2.43,5.7,3.11,0.06,0.0,0.33,0.06,0.58,0.67,0.32,0.15
202007,26440,입,0.0,1.21,3.74,4.93,5.98,1.84,0.16,1.11,0.69,0.4,0.16,0.24,1.42,0.0
202007,26470,입,0.12,0.94,2.02,1.1,3.79,2.05,0.58,0.22,2.08,0.55,0.31,1.75,0.89,0.16
202007,26500,입,0.19,0.84,2.75,3.99,4.25,1.67,1.73,0.0,2.71,0.41,0.76,1.5,0.88,1.25
202007,36110,입,15.34,11.58,37.67,50.44,35.3,10.99,2.89,6.09,12.63,17.94,19.48,17.5,4.7,4.55
202007,41110,입,137.23,267.46,450.26,636.14,690.75,247.91,51.75,142.72,177.77,204.77,235.11,266.86,106.45,43.26
202006,46230,입,0.17,0.9,2.92,5.33,5.22,1.86,0.03,0.13,2.91,1.38,0.88,1.49,1.22,0.21
202006,46710,입,0.16,0.64,2.19,1.26,2.29,1.18,1.41,0.0,0.23,0.42,0.44,0.55,0.55,0.0
202006,46720,입,1.61,0.67,0.0,3.55,1.05,0.56,0.14,0.0,0.0,0.0,0.11,0.0,0.05,0.12
202006,48740,입,0.41,0.34,0.39,2.49,3.49,1.42,0.38,0.0,0.0,0.06,0.18,0.64,0.05,0.0
202006,48820,입,0.0,2.8,0.56,4.03,9.21,0.7,0.0,0.0,0.84,0.0,1.59,0.0,0.1,0.0
202006,48840,입,0.0,0.2,0.0,0.1,0.57,0.06,0.19,0.0,0.0,0.0,0.25,0.11,0.21,0.28
202007,26530,입,0.14,1.45,7.16,4.94,5.8,2.3,0.3,0.18,3.55,0.57,0.09,1.26,0.24,0.18
202007,26710,입,0.51,1.17,4.81,5.91,3.44,4.09,0.0,0.0,0.21,0.81,0.94,0.48,1.07,0.43
202007,27110,입,0.0,2.03,0.6,1.49,2.4,0.19,0.21,0.0,0.04,0.4,0.48,0.15,0.82,0.14
202006,42830,입,0.0,0.29,0.44,1.01,2.76,1.47,0.19,0.0,0.0,0.08,0.11,0.75,0.36,0.73
202006,43110,입,35.2,82.57,135.47,195.96,181.07,62.47,12.04,36.85,59.5,49.94,50.4,49.54,25.23,12.31
202006,46730,입,0.09,0.0,0.25,0.05,1.58,0.85,0.39,0.0,0.0,0.0,0.1,0.46,0.05,0.0
202006,46770,입,0.0,0.59,0.13,0.64,1.35,1.23,0.94,0.0,0.4,0.0,0.36,0.3,1.53,0.27
202006,46780,입,0.0,0.28,0.78,0.14,3.1,0.12,0.0,0.32,0.22,0.0,0.13,0.16,1.32,0.11
202006,48850,입,0.0,1.9,0.85,0.13,0.46,0.33,0.32,0.0,0.0,0.25,0.0,1.02,0.21,1.45
202006,48860,입,1.16,0.0,0.97,2.51,3.03,0.79,0.24,0.06,0.0,0.0,0.17,0.53,1.1,0.2
202006,48870,입,0.0,0.39,0.21,4.5,1.1,1.03,1.0,0.0,0.09,0.0,0.77,0.45,0.37,0.5
202006,48880,입,0.0,0.24,0.29,1.52,1.87,1.22,0.11,0.03,0.15,0.21,0.11,0.92,0.38,0.09
202007,27140,입,0.73,3.19,3.64,10.23,12.89,7.91,0.45,0.62,2.07,2.24,2.24,3.18,2.04,1.98
202007,27170,입,2.07,2.48,2.06,7.34,4.75,4.29,0.44,2.81,0.69,2.55,0.83,0.68,2.87,0.6
202007,27200,입,0.11,2.32,2.23,1.48,3.88,2.25,1.16,0.0,0.78,0.94,0.31,0.52,0.91,1.56
202006,43130,입,13.72,16.88,31.71,64.65,49.19,22.84,8.3,11.22,19.6,20.11,16.56,15.77,9.2,12.02
202006,43150,입,4.3,9.84,9.57,15.62,19.54,8.58,1.25,5.02,6.56,5.6,6.11,8.61,2.8,3.17
202006,43720,입,0.2,0.5,3.45,3.1,3.37,1.91,0.41,0.0,1.2,0.07,1.22,1.37,0.44,0.82
202006,46790,입,0.0,0.15,0.44,1.46,2.94,0.14,0.0,0.0,0.18,0.0,0.6,0.38,0.62,0.22
202006,46800,입,0.0,0.0,0.43,1.23,0.12,0.14,0.07,0.0,0.09,0.11,0.42,0.53,0.54,0.0
202006,46810,입,0.0,0.17,0.0,0.0,0.56,1.1,0.19,0.0,0.0,0.0,0.0,0.37,0.38,0.0
202006,46820,입,0.0,1.43,1.42,1.89,1.94,0.55,0.55,0.0,2.01,0.0,0.11,0.86,0.13,0.23
202006,48890,입,0.0,0.0,1.09,1.47,0.33,0.13,0.09,0.33,0.0,0.0,0.37,0.5,0.18,0.45
202006,50110,입,0.92,3.04,3.52,13.1,10.98,4.99,2.34,0.0,5.02,3.25,5.7,1.95,2.92,2.07
202006,50130,입,11.78,0.31,2.02,3.96,3.42,1.58,0.42,0.57,1.24,1.03,1.3,1.86,2.1,1.55
202007,27230,입,0.71,3.85,6.95,23.04,19.07,5.76,0.88,0.77,2.36,1.29,3.0,2.25,3.47,0.86
202007,27260,입,0.96,5.39,3.19,10.37,14.08,2.81,1.32,1.1,2.86,1.37,4.17,1.68,0.41,1.17
202007,27290,입,0.38,4.64,12.4,21.07,18.95,8.55,0.71,1.1,4.85,3.06,4.42,2.72,2.43,0.28
202006,43730,입,0.0,0.81,1.01,3.65,13.27,3.26,1.11,0.0,0.33,0.35,0.26,1.18,1.8,0.39
202006,43740,입,0.61,7.49,0.79,1.28,6.56,1.14,0.19,1.16,0.96,1.92,0.09,0.82,1.53,0.59
202006,43745,입,0.63,3.68,3.89,11.76,9.56,4.16,0.42,2.69,1.76,2.19,2.05,5.12,1.75,0.96
202006,46830,입,0.29,1.52,5.84,1.23,2.49,0.22,0.17,0.86,0.0,0.51,0.43,0.97,0.31,0.7
202006,46840,입,0.79,1.93,1.5,1.49,2.05,0.97,0.0,0.6,0.23,0.24,0.82,1.22,0.31,0.11
202006,46860,입,0.15,0.18,0.91,0.54,0.45,0.15,0.0,0.0,0.0,0.0,0.27,0.61,0.27,0.19
202007,11110,입,0.95,10.07,10.23,17.51,15.87,13.57,2.8,7.0,13.91,4.06,9.07,6.29,8.93,2.37
202007,11140,입,0.8,12.47,10.4,16.3,15.71,10.94,1.52,4.55,7.29,4.51,9.34,9.21,5.59,3.49
202007,27710,입,0.56,2.57,6.62,9.07,12.73,5.1,0.16,0.25,3.09,0.67,0.53,1.59,0.97,0.75
202007,28110,입,2.87,2.52,20.07,14.13,16.29,8.07,1.46,3.66,4.45,3.87,4.36,4.84,3.44,0.61
202007,28140,입,0.0,2.38,4.73,8.54,7.55,2.88,0.51,0.88,1.84,1.0,1.23,1.61,4.2,1.3
202006,43750,입,42.29,66.22,120.26,145.35,127.63,61.95,15.55,36.81,25.83,67.12,95.36,59.55,28.66,24.09
202006,43760,입,4.53,2.36,5.61,11.6,7.58,4.84,3.19,2.26,5.25,1.06,3.38,3.0,4.23,1.03
202006,43770,입,38.86,64.13,114.34,167.72,143.4,57.92,25.92,21.22,49.89,60.51,89.03,69.34,30.32,29.47
202006,46870,입,0.0,0.59,0.8,1.5,1.21,1.33,0.03,2.98,1.81,1.85,1.98,0.62,0.07,0.0
202006,46880,입,1.74,1.94,0.79,1.97,1.49,0.64,1.02,0.62,0.52,0.0,0.0,0.65,0.0,0.43
202006,46890,입,0.0,0.0,0.82,0.96,1.52,0.25,0.23,1.15,0.0,0.07,0.28,0.72,0.16,0.0
202007,11170,입,8.26,7.9,16.89,29.03,31.01,19.51,7.94,4.13,16.79,17.52,14.18,15.23,7.27,5.03
202007,11200,입,10.6,22.8,33.89,45.72,51.16,24.07,4.68,21.33,14.52,13.64,19.01,19.51,12.01,4.24
202007,11215,입,13.72,36.26,44.58,62.05,51.31,23.57,11.55,9.07,23.26,23.59,20.44,21.57,13.65,3.57
202007,46900,입,3.47,0.34,0.08,1.2,1.37,0.14,0.06,0.0,0.34,0.09,0.23,1.02,0.0,0.0
202007,46910,입,0.0,0.0,1.63,0.48,0.88,0.33,0.0,0.0,0.0,0.03,0.47,0.56,0.17,0.2
202007,47110,입,2.28,7.65,5.83,12.74,12.07,7.91,0.66,0.27,1.64,3.46,5.02,5.08,2.13,1.2
202007,47130,입,2.3,12.24,1.87,7.06,10.86,2.55,0.77,0.24,2.92,1.94,1.33,2.03,2.83,0.84
202008,11230,입,6.59,16.77,28.02,45.55,41.81,18.07,11.02,12.51,14.1,10.94,9.64,17.9,9.42,3.15
202008,11260,입,9.12,22.34,30.75,44.77,62.27,19.71,2.68,17.36,14.67,16.15,14.1,19.43,9.95,4.75
202008,11290,입,12.23,25.58,24.37,56.65,53.29,20.98,5.4,16.5,14.19,16.63,20.85,18.16,15.2,11.3
202007,41500,입,51.11,94.16,144.16,223.98,248.89,112.98,37.71,42.77,68.67,66.88,102.92,133.42,63.35,29.3
202007,41550,입,20124.24,13649.65,16229.8,16383.76,14232.07,8309.5,6835.5,18940.03,10998.18,13244.2,14368.08,13380.01,8546.24,11046.28
202007,44200,입,27.42,87.16,200.91,186.03,130.34,45.83,14.44,23.47,55.88,59.5,51.46,47.04,18.32,17.36
202007,44210,입,12.31,14.59,16.67,17.07,17.76,5.56,0.84,1.81,4.97,10.1,5.39,8.95,2.8,3.16
202007,44230,입,2.17,7.21,4.46,9.23,16.08,5.6,0.87,0.76,5.23,1.6,2.16,3.02,1.4,0.35
202007,47150,입,1.73,0.57,4.57,11.45,12.76,3.21,0.29,0.73,2.07,1.43,1.96,2.65,1.93,0.99
202007,47170,입,1.99,2.77,2.94,4.48,4.4,1.83,0.8,0.74,3.58,0.62,0.85,0.99,1.9,1.02
202008,11305,입,10.16,12.44,18.06,41.41,33.99,16.8,4.64,6.58,10.65,10.94,10.73,11.71,8.6,2.96
202008,11320,입,6.21,11.37,21.59,37.84,38.96,17.26,2.47,14.54,13.28,9.14,9.49,17.33,7.25,3.92
202008,11350,입,15.6,27.31,30.18,68.09,58.83,28.31,4.07,9.95,17.12,14.38,21.31,32.11,10.71,4.34
202007,41570,입,6.9,19.6,31.19,49.89,41.6,15.9,3.17,7.15,9.93,13.66,9.58,14.3,6.42,2.56
202007,41590,입,106.58,155.52,511.13,638.31,430.58,134.39,32.44,106.6,97.28,199.48,206.91,158.0,63.61,25.68
202007,41610,입,16.24,38.03,120.31,160.55,128.83,50.78,9.57,21.18,21.66,36.09,38.28,51.77,20.16,8.83
202007,44250,입,0.8,2.3,1.54,4.87,6.27,0.74,0.05,1.42,0.34,0.73,1.04,1.49,0.26,0.08
202007,44270,입,15.02,18.64,26.43,36.06,33.95,14.76,2.14,7.04,12.63,12.42,8.49,10.27,7.35,6.39
202007,44710,입,34.84,2.63,2.5,4.66,2.64,2.67,1.48,0.5,5.79,3.0,0.96,1.61,2.13,3.81
202007,47190,입,2.55,7.33,13.27,26.74,26.01,7.49,0.61,3.72,6.74,4.9,3.26,4.77,1.76,3.83
202007,47210,입,2.5,5.05,1.99,4.34,6.32,2.83,1.16,0.64,1.14,1.62,1.72,1.7,0.98,0.31
202007,47230,입,11.9,2.22,1.93,3.53,3.68,2.58,0.0,0.0,1.01,0.27,0.73,1.18,0.31,0.25
202008,11380,입,11.56,23.82,29.81,43.6,49.06,22.77,15.76,10.66,17.71,12.65,12.2,19.59,13.73,5.14
202008,11410,입,4.97,17.33,16.48,28.66,34.86,15.83,7.93,6.24,16.24,9.89,10.66,13.55,7.68,2.32
202007,41630,입,14.83,6.3,19.67,28.86,22.7,9.26,3.07,1.65,5.16,7.73,5.82,7.41,2.97,0.54
202007,41650,입,3.28,6.83,10.86,26.19,16.62,6.49,2.74,3.45,5.7,3.22,3.49,7.19,1.81,4.31
202007,41670,입,19.68,25.46,46.38,54.99,48.35,23.17,5.69,9.74,13.03,11.09,20.96,26.08,9.24,4.72
202007,44760,입,0.19,9.67,1.83,6.23,4.29,1.23,0.34,0.14,4.58,1.41,1.51,2.55,0.68,5.52
202007,44770,입,0.0,0.92,1.2,4.58,3.39,0.9,0.43,0.13,0.79,0.03,0.66,2.24,0.0,0.94
202007,44790,입,0.5,1.67,5.03,1.44,3.68,1.06,0.48,0.09,1.66,0.42,0.18,3.01,0.93,0.96
202007,47250,입,1.82,1.92,3.2,2.93,9.51,5.65,0.21,0.2,0.97,0.44,0.77,1.18,0.76,0.64
202007,47280,입,1.57,0.72,3.85,4.87,8.98,3.18,1.33,0.3,2.05,2.2,1.15,1.81,1.14,4.65
202007,47290,입,0.94,6.53,6.24,12.15,10.78,3.7,0.83,1.2,0.97,1.21,2.35,4.11,1.18,0.57
202007,47720,입,0.0,0.0,0.73,0.86,1.38,0.77,0.09,0.0,0.0,0.2,0.14,0.57,0.0,0.14
202008,11440,입,14.01,18.36,35.19,48.65,42.86,20.24,3.63,19.86,15.53,22.81,14.05,19.62,9.75,4.26
202008,11470,입,11.11,19.58,41.01,61.94,85.03,35.32,4.79,10.88,12.23,18.85,15.88,27.68,11.87,5.15
202008,11500,입,13.62,21.56,52.15,55.04,58.72,33.13,7.71,21.64,20.31,21.58,19.12,29.57,14.04,6.6
202007,41800,입,0.49,2.79,2.03,3.42,6.17,1.43,0.26,0.21,1.1,0.12,0.54,0.3,0.42,0.0
202007,41820,입,3.92,2.83,4.83,4.68,5.16,1.69,0.63,3.08,0.82,0.88,1.43,1.79,0.49,0.3
202007,41830,입,1.09,4.62,14.31,11.34,13.33,4.59,2.92,3.12,4.82,3.34,7.3,8.38,2.26,2.38
202007,44800,입,6.71,4.89,9.62,13.85,14.53,6.22,1.96,3.29,4.5,3.94,2.71,3.64,3.24,0.78
202007,44810,입,1.88,6.56,10.63,15.82,10.13,3.81,2.41,0.66,1.02,3.05,4.32,5.9,1.83,1.83
202007,44825,입,0.41,1.87,4.23,6.19,6.99,2.88,0.54,0.1,1.2,1.55,1.13,5.27,2.83,0.81
202007,47730,입,0.0,6.84,0.63,2.64,3.81,0.84,0.46,0.0,0.09,0.0,0.0,1.89,0.41,0.13
202007,47750,입,0.0,0.23,0.15,1.17,1.63,0.68,0.79,0.0,0.0,0.06,0.0,0.17,0.05,0.0
202007,47760,입,0.0,0.68,0.08,0.0,0.96,0.12,0.0,0.0,0.1,0.0,0.0,1.08,0.0,0.0
202008,26260,입,0.41,0.95,1.97,5.21,6.48,2.29,0.32,6.32,0.49,1.29,0.8,0.47,0.23,0.0
202008,26290,입,0.58,2.34,2.98,6.71,7.57,4.02,0.13,0.0,2.1,0.0,0.9,1.38,0.84,0.61
202008,26320,입,0.62,1.66,2.52,6.94,9.54,4.98,0.21,1.83,2.97,0.78,0.52,1.57,2.13,0.2
202007,42110,입,7.56,9.0,6.89,13.11,12.32,3.32,1.0,3.15,7.72,3.27,6.99,5.39,2.58,4.21
202007,42130,입,4.36,16.99,30.52,46.17,47.64,15.0,4.52,3.34,8.93,12.24,14.94,10.85,6.48,5.67
202007,45110,입,5.14,15.64,17.91,34.65,33.58,11.36,3.62,6.48,15.88,10.05,7.45,9.18,6.07,1.66
202007,45130,입,4.74,4.21,13.03,18.62,26.75,6.92,1.21,2.85,1.64,7.68,6.15,4.71,1.64,3.07
202007,47770,입,0.0,0.94,0.17,1.45,1.99,0.0,0.1,1.68,0.0,0.19,0.17,0.1,0.06,1.35
202007,47820,입,0.0,0.0,0.54,1.73,2.86,0.81,0.23,0.0,0.72,0.15,0.27,0.58,0.09,0.0
202007,47830,입,0.08,0.17,1.86,0.79,0.91,0.55,0.0,0.09,0.15,1.0,0.08,0.0,0.07,0.0
202008,11530,입,18.97,24.05,49.01,53.78,65.9,41.29,7.02,11.57,18.16,24.06,15.61,28.67,18.4,4.51
202008,11545,입,8.63,18.28,30.54,41.73,53.21,28.73,6.33,3.83,14.38,16.68,14.83,15.05,8.49,3.58
202008,11560,입,10.61,23.33,47.29,46.58,63.18,27.26,6.74,8.93,16.68,16.7,21.08,23.37,11.81,6.51
202007,42150,입,0.47,7.45,7.34,7.13,9.3,4.05,0.41,0.28,4.96,2.97,3.52,6.9,2.46,3.79
202007,42170,입,0.11,3.01,2.17,2.75,3.15,1.09,0.06,0.0,1.33,1.36,1.32,0.78,0.4,0.1
202007,42190,입,0.23,1.28,2.55,5.41,1.69,2.19,0.31,0.31,0.27,0.31,0.19,0.69,0.48,0.0
202007,45140,입,2.74,14.39,13.33,30.2,21.83,9.66,2.05,3.77,6.12,2.13,5.25,3.8,5.64,3.07
202007,45180,입,0.35,1.31,4.93,6.73,8.88,1.99,0.93,0.76,0.78,0.83,0.83,0.89,1.01,0.68
