No,,40대남성 유입인구,출발지,ADDR,경도,위도,상태
142,54009,46.19,36,Not Specified,?,?,실패
206,56000,0.82,43,충청북도,?,?,실패
207,56034,0.56,46,전라남도,?,?,실패
